"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"
">ASV112"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Xanthobacteraceae"	NA
">ASV113"	"Bacteria"	"Acidobacteria"	"Subgroup_6"	NA	NA	NA
">ASV114"	"Bacteria"	"Verrucomicrobia"	"Verrucomicrobiae"	"Chthoniobacterales"	"Chthoniobacteraceae"	"Candidatus_Udaeobacter"
">ASV115"	"Bacteria"	"Acidobacteria"	"Blastocatellia_(Subgroup_4)"	"Pyrinomonadales"	"Pyrinomonadaceae"	"RB41"
">ASV116"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Sphingomonas"
">ASV117"	"Bacteria"	"Acidobacteria"	"Subgroup_6"	NA	NA	NA
">ASV118"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Gammaproteobacteria_Incertae_Sedis"	"Unknown_Family"	"Acidibacter"
">ASV119"	"Bacteria"	"Actinobacteria"	"Thermoleophilia"	"Gaiellales"	"Gaiellaceae"	"Gaiella"
">ASV120"	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	NA	NA
">ASV121"	"Bacteria"	"Actinobacteria"	"Thermoleophilia"	"Solirubrobacterales"	"67-14"	NA
">ASV122"	"Bacteria"	"Acidobacteria"	"Subgroup_6"	NA	NA	NA
">ASV123"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Betaproteobacteriales"	"Burkholderiaceae"	NA
">ASV124"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Chitinophagales"	"Chitinophagaceae"	"Flavitalea"
">ASV125"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Betaproteobacteriales"	"A21b"	NA
">ASV126"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Sphingomonas"
">ASV127"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Sphingomonas"
">ASV128"	"Bacteria"	"Verrucomicrobia"	"Verrucomicrobiae"	"Chthoniobacterales"	"Chthoniobacteraceae"	"Candidatus_Udaeobacter"
">ASV129"	"Bacteria"	"Verrucomicrobia"	"Verrucomicrobiae"	"Opitutales"	"Opitutaceae"	"Opitutus"
">ASV130"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Xanthobacteraceae"	"Bradyrhizobium"
">ASV131"	"Bacteria"	"Acidobacteria"	"Subgroup_6"	NA	NA	NA
